Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1000001,2014-03-09,2015-03-09,11,4,
1000002,2011-04-02,2012-04-02,15,2,
1000003,2012-01-29,2012-07-31,3,7,
1000004,2013-01-19,2014-01-19,4,3,
1000005,2012-06-11,2012-12-10,10,3,
1000006,2011-10-21,2012-04-21,11,6,2012-02-13
1000007,2012-02-13,2012-08-13,19,2,
1000008,2010-08-21,2011-02-18,7,4,
1000009,2012-11-19,2013-05-19,3,5,
1000010,2013-01-02,2014-01-02,8,1,
1000011,2011-05-02,2012-05-01,20,5,
1000012,2012-04-24,2012-10-23,14,2,2012-07-31
1000013,2013-03-05,2014-03-05,19,5,
1000014,2013-02-23,2014-02-23,3,4,
1000015,2013-08-04,2014-08-04,20,7,
1000016,2011-07-31,2012-07-31,18,4,
1000017,2011-01-15,2011-07-17,20,1,
1000018,2013-11-27,2014-05-28,12,2,
1000019,2013-01-08,2013-07-11,15,4,
1000020,2014-01-17,2015-01-17,19,5,
1000021,2012-07-11,2013-07-11,8,1,
1000022,2011-06-09,2012-06-09,1,2,
1000023,2013-02-02,2014-02-02,20,4,
1000024,2010-12-21,2011-06-22,13,1,
1000025,2011-12-03,2012-12-02,15,5,2012-10-31
1000026,2011-09-17,2012-09-17,18,7,
1000027,2012-06-26,2013-06-26,6,6,
1000028,2012-03-01,2013-03-01,17,6,
1000029,2011-11-30,2012-05-30,11,7,
1000030,2012-08-29,2013-08-29,9,3,
1000031,2011-03-26,2011-09-25,15,3,
1000032,2011-03-13,2011-09-10,12,2,
1000033,2012-04-10,2012-10-09,9,6,
1000034,2012-07-22,2013-01-22,14,2,2012-10-28
1000035,2013-10-29,2014-10-29,9,1,
1000036,2011-07-15,2012-07-15,2,3,
1000037,2011-07-27,2012-01-27,18,1,
1000038,2011-11-03,2012-11-03,11,2,
1000039,2013-11-13,2014-05-14,3,2,
1000040,2010-12-20,2011-06-21,1,6,2011-06-14
1000041,2012-11-21,2013-05-21,1,3,
1000042,2012-11-30,2013-11-30,6,5,
1000043,2011-11-29,2012-11-29,11,2,
1000044,2013-07-16,2014-07-16,10,6,
1000045,2011-09-20,2012-09-20,2,4,
1000046,2010-11-05,2011-05-08,10,1,
1000047,2011-12-19,2012-12-19,17,3,
1000048,2013-07-16,2014-07-16,7,6,2014-04-16
1000049,2011-12-06,2012-12-05,11,5,
1000050,2013-11-08,2014-05-09,19,7,
1000051,2012-02-16,2013-02-15,13,6,
1000052,2012-02-29,2013-02-28,12,1,
1000053,2011-06-04,2012-06-03,19,4,
1000054,2012-03-07,2013-03-07,18,1,
1000055,2014-02-02,2015-02-02,17,4,
1000056,2012-11-10,2013-11-10,2,1,
1000057,2013-11-17,2014-05-20,7,4,
1000058,2011-09-27,2012-09-27,18,7,
1000059,2012-02-04,2013-02-04,7,4,
1000060,2010-11-06,2011-11-06,17,6,
1000061,2012-12-26,2013-06-28,12,7,
