Record ID,Policy Number,Driver ID,Vehicle ID,Vehicle Model Year,Location ID,Total Premium
1,1001758,4758,50,2006,65,3450.5709
2,1002901,5901,68,2013,536,1938.5709
3,1009972,12972,43,2005, ,3174.5709
4,1014384,17384,7,2005,228,2958.5709
5,1014425,17425,73,2013,364,762.5709
6,1015462,18462,71,2013,161,4110.5709
7,1015662,18662,22,2011,557,4002.5709
8,1022890,25890,10,2007,57,2886.5709
9,1024339,27339,47,2011,326,2190.5709
10,1027834,30834,73,2008,562,3714.5709
11,1000001,3001,34,2011,229,4434.5709
12,1000044,3044,79,2010,74,4122.5709
13,1000500,3500,29,2005,249,2934.5709
14,1000618,3618,25,2005,365,3306.5709
15,1000896,3896,49,2011,330,3078.5709
16,1000922,3922,72,2010,585,3414.5709
17,1001182,4182,8,2013,205,1650.5709
18,1001655,4655,50,2008,489,3846.5709
19,1002238,5238,12,2011,185,2994.5709
20,1002489,5489,63,2008,473,2382.5709
21,1003074,6074,85,2007,166,3930.5709
22,1003746,6746,55,2005,237,3534.5709
23,1003979,6979,20,2008,263,2526.5709
24,1004827,7827,49,2012,554,1362.5709
25,1004851,7851,73,2007,408,2850.5709
26,1005010,8010,37,2007,427,3198.5709
27,1005270,8270,63,2005,195,3798.5709
28,1005473,8473,63,2005,566,3978.5709
29,1005727,8727,29,2013,158,1302.5709
30,1005745,8745,33,2010,201,3438.5709
31,1006400,9400,46,2009,331,1950.5709
32,1006837,9837,15,2009,317,3678.5709
33,1007052,10052,64,2012,95,2130.5709
34,1007130,10130,68,2007,473,3654.5709
35,1007240,10240,55,2007,318,3294.5709
36,1007266,10266,59,2009,206,2586.5709
37,1007613,10613,42,2006,335,3090.5709
38,1008153,11153,52,2008,487,1722.5709
39,1008331,11331,80,2013,275,2958.5709
40,1008385,11385,32,2005,40,3582.5709
41,1009455,12455,72,2011,542,2526.5709
42,1009503,12503,50,2011,258,2730.5709
43,1009902,12902,28,2007,310,2454.5709
44,1010268,13268,35,2011,301,2406.5709
45,1011362,14362,22,2005,79,2598.5709
46,1011964,14964,77,2012,181,2094.5709
47,1012017,15017,4,2006,352,2382.5709
48,1012870,15870,69,2005,32,2922.5709
49,1013142,16142,74,2011,236,1446.5709
50,1013326,16326,75,2005,415,3642.5709
51,1014015,17015,67,2010,179,3210.5709
52,1014991,17991,78,2012,507,2982.5709
53,1015219,18219,29,2007,88,3246.5709
54,1016117,19117,72,2013,65,2346.5709
55,1016310,19310,25,2013,223,1602.5709
56,1016539,19539,2,2006,115,3810.5709
57,1016695,19695,41,2006,47,3102.5709
58,1017223,20223,70,2010,496,2754.5709
59,1017317,20317,48,2013,342,1938.5709
60,1017773,20773,69,2007,52,4014.5709
61,1017857,20857,52,2008,459,4734.5709
62,1018096,21096,86,2006,222,2070.5709
63,1018109,21109,49,2010,16,2106.5709
64,1018473,21473,42,2005,76,2874.5709
65,1018772,21772,76,2006,1,3870.5709
66,1018839,21839,19,2012,305,2166.5709
67,1019127,22127,71,2007,244,2034.5709
68,1019226,22226,75,2005,353,3090.5709
69,1019397,22397,67,2009,441,3882.5709
70,1019405,22405,65,2008,70,3810.5709
71,1020036,23036,83,2006,228,2466.5709
72,1020371,23371,60,2011,161,3174.5709
73,1020403,23403,86,2011,535,3294.5709
74,1020510,23510,62,2010,464,3882.5709
75,1020795,23795,86,2008,12,3306.5709
76,1020831,23831,69,2011,475,1686.5709
77,1020853,23853,51,2006,387,4290.5709
78,1021260,24260,75,2010,340,4002.5709
79,1021930,24930,56,2006,477,3162.5709
80,1022056,25056,35,2009,40,2730.5709
81,1022072,25072,39,2005,326,3918.5709
82,1022481,25481,65,2011,535,2262.5709
83,1022832,25832,58,2012,3,3210.5709
84,1023153,26153,20,2006,367,3930.5709
85,1023523,26523,75,2007,522,3282.5709
86,1023756,26756,28,2007,158,2454.5709
87,1023830,26830,34,2005,87,2670.5709
88,1023968,26968,40,2007,73,2082.5709
89,1024154,27154,55,2008,153,2790.5709
90,1024740,27740,46,2011,201,2454.5709
91,1024811,27811,63,2005,471,4038.5709
92,1024844,27844,57,2008,232,3534.5709
93,1025220,28220,55,2012,566,3390.5709
94,1025779,28779,69,2006,3,3474.5709
95,1026229,29229,79,2009,574,3270.5709
96,1026961,29961,31,2010,273,2610.5709
97,1027011,30011,49,2012,84,2322.5709
98,1027465,30465,63,2007,80,3450.5709
99,1027484,30484,36,2008,58,3546.5709
100,1027982,30982,75,2010,47,2418.5709
101,1027994,30994,55,2007,13,3342.5709
